type,source,episodes,status,airing,rating,score,scored_by,popularity,members,genre
TV,Manga,23,FinishedAiring,FALSE,PG-13-Teens13orolder,8.41,87363,381,198927,"Music,SliceofLife,Comedy,Drama,Romance,Josei"
TV,Manga,13,FinishedAiring,FALSE,PG-13-Teens13orolder,8.14,138954,259,266342,"Comedy,Demons,Supernatural,Romance,Fantasy,Shoujo"
TV,Manga,70,FinishedAiring,FALSE,PG-Children,8.21,121898,292,237669,"Adventure,Comedy,Drama,Magic,Romance,Fantasy,School,Shoujo"
TV,Manga,78,FinishedAiring,FALSE,G-AllAges,7.78,6598,3045,15211,"Comedy,Sci-Fi,Shoujo"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,8.12,133548,322,224494,"SliceofLife,Drama,Romance,School,Shoujo"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,8.07,69250,701,121752,"Comedy,Drama,Romance,ShounenAi"
TV,Original,12,FinishedAiring,FALSE,G-AllAges,6.49,5866,3214,13818,"Comedy,Romance,School,Sci-Fi,SliceofLife"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.99,86423,568,146369,"Comedy,Drama,Romance,ShounenAi"
TV,Visualnovel,25,FinishedAiring,FALSE,PG-13-Teens13orolder,7.63,36820,1138,72255,"Comedy,Drama,Harem,Magic,Music,Romance,School,Shoujo"
TV,Manga,13,FinishedAiring,FALSE,R-17+(violence&profanity),7.92,40618,795,108764,"Action,Adventure,SuperPower,Demons,Shounen"
TV,Unknown,26,FinishedAiring,FALSE,PG-13-Teens13orolder,6.2,609,5316,3989,"Action,Comedy,Drama,Historical,Romance,Samurai,Shoujo"
Movie,Manga,1,Notyetaired,FALSE,R-17+(violence&profanity),0,0,5215,4210,"Action,Comedy,Historical,Samurai,Shounen"
Music,Original,1,FinishedAiring,FALSE,G-AllAges,5.79,690,8069,1111,"Kids,Music,SliceofLife"
OVA,Manga,2,FinishedAiring,FALSE,Rx-Hentai,7.03,2355,4667,5600,Hentai
TV,Unknown,200,FinishedAiring,FALSE,PG-Children,6.39,94,10418,309,"Adventure,Comedy,Fantasy,Kids,Magic"
OVA,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.29,102,10547,285,"Sci-Fi,Adventure,Space,Mecha"
OVA,Original,1,FinishedAiring,FALSE,R-17+(violence&profanity),7.4,15423,2044,31844,"Action,Mystery,Horror,Psychological"
OVA,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6,28,11667,165,"Police,Comedy,Romance,Drama"
TV,Novel,45,FinishedAiring,FALSE,PG-13-Teens13orolder,8.13,28791,1016,82925,"Action,Adventure,Fantasy,Magic,Supernatural"
OVA,Visualnovel,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.04,9290,2721,19268,"Harem,School,Vampire,Shoujo"
OVA,Unknown,2,FinishedAiring,FALSE,Rx-Hentai,5.34,100,9817,423,Hentai
ONA,Unknown,1,FinishedAiring,FALSE,R-17+(violence&profanity),5.87,237,9602,482,"Comedy,Romance"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.87,676,6950,1926,"Adventure,Comedy,Seinen"
TV,Manga,0,CurrentlyAiring,TRUE,None,3.44,18,10123,361,Comedy
OVA,Manga,4,FinishedAiring,FALSE,PG-13-Teens13orolder,7.14,16149,1950,34469,"Action,Adventure,Mecha,Military,Sci-Fi"
Special,Lightnovel,6,FinishedAiring,FALSE,PG-13-Teens13orolder,6.15,2806,3977,8265,Comedy
TV,Unknown,35,FinishedAiring,FALSE,PG-13-Teens13orolder,6.17,79,9869,412,"Space,Mecha,Military,Mystery,Sci-Fi"
Special,Lightnovel,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.35,1050,6165,2758,"Action,Military,Romance,Sci-Fi,Space"
Special,Original,25,FinishedAiring,FALSE,PG-13-Teens13orolder,7.42,1911,4119,7644,Comedy
ONA,Original,1,FinishedAiring,FALSE,G-AllAges,4.32,22,12944,102,Comedy
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,5.91,4687,2963,16223,"Action,Samurai"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,5.86,315,8025,1143,"Mecha,Military"
TV,Manga,36,Notyetaired,FALSE,None,0,0,8300,986,"Adventure,Mystery,Shounen"
Movie,Other,1,FinishedAiring,FALSE,PG-Children,4.86,7,13987,49,"Drama,Historical"
Movie,Original,1,FinishedAiring,FALSE,R-17+(violence&profanity),8.01,81162,637,132203,"Game,Mystery,Psychological,Drama,Thriller"
Music,Music,1,FinishedAiring,FALSE,PG-Children,5.85,103,11594,174,Music
TV,Manga,51,FinishedAiring,FALSE,PG-Children,6.86,97,9003,673,"Game,Fantasy"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.17,60,10204,342,"Adventure,Comedy,Fantasy,Horror,Supernatural"
OVA,Visualnovel,5,FinishedAiring,FALSE,Rx-Hentai,6.08,275,8277,994,"Fantasy,Hentai"
TV,Manga,10,FinishedAiring,FALSE,R+-MildNudity,6.41,34990,1025,81824,"Action,Adventure,Ecchi,Shounen"
OVA,Manga,1,FinishedAiring,FALSE,None,5.73,120,9879,412,"Action,Adventure,Military,Sci-Fi"
Music,Music,1,FinishedAiring,FALSE,G-AllAges,5.62,395,9124,632,Music
Movie,Original,1,FinishedAiring,FALSE,None,5.86,7,10399,313,"Action,Fantasy"
TV,Other,10,FinishedAiring,FALSE,R+-MildNudity,5.2,4722,2533,22001,"Ecchi,Fantasy"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.26,129,9665,467,
Special,Lightnovel,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.65,16293,2146,29209,Comedy
Special,Manga,4,FinishedAiring,FALSE,G-AllAges,5.92,161,8668,811,"Comedy,Seinen"
Special,Unknown,2,FinishedAiring,FALSE,G-AllAges,6.41,37,11258,199,"Comedy,Romance,School,Shoujo,SliceofLife"
Movie,Original,1,FinishedAiring,FALSE,PG-Children,5.96,333,8482,896,"Adventure,Kids"
OVA,Original,2,FinishedAiring,FALSE,R-17+(violence&profanity),5.63,953,6716,2147,"Action,Sci-Fi,Space"
Special,Unknown,7,FinishedAiring,FALSE,PG-13-Teens13orolder,6.73,368,7924,1199,Music
Special,Unknown,1,FinishedAiring,FALSE,R-17+(violence&profanity),6.6,7177,3179,14153,"Action,Adventure,Fantasy,Magic,Shounen"
OVA,Visualnovel,1,FinishedAiring,FALSE,Rx-Hentai,6.54,2749,4398,6450,Hentai
TV,Original,13,FinishedAiring,FALSE,PG-13-Teens13orolder,6.95,8111,2600,21106,"Adventure,Drama,Magic,Sci-Fi"
OVA,Original,10,FinishedAiring,FALSE,G-AllAges,5.51,59,10532,290,"Comedy,SliceofLife"
TV,4-komamanga,26,FinishedAiring,FALSE,PG-13-Teens13orolder,8.14,178001,183,322621,"Comedy,Music,School,SliceofLife"
OVA,Manga,2,FinishedAiring,FALSE,R+-MildNudity,6.93,10761,2808,17989,"Drama,Romance,Yaoi"
Movie,Game,1,FinishedAiring,FALSE,PG-Children,7.13,2588,4395,6463,"Adventure,Comedy,Fantasy,Kids"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.47,14763,1826,38419,"Comedy,SliceofLife"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,7.89,9,11647,169,"Drama,Historical"
Special,Original,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.24,485,6987,1890,"Action,School"
TV,Unknown,52,FinishedAiring,FALSE,G-AllAges,6.23,392,8158,1062,"Cars,Kids,Shounen,Space,Sports"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.14,73,10118,358,"Adventure,Kids"
OVA,Unknown,2,FinishedAiring,FALSE,Rx-Hentai,5.36,622,6999,1883,Hentai
Movie,Manga,1,FinishedAiring,FALSE,G-AllAges,7.57,4073,3511,11187,"Fantasy,Magic"
Special,Manga,1,Notyetaired,FALSE,PG-13-Teens13orolder,0,0,4411,6405,"Action,Adventure,Comedy,Demons,Supernatural,MartialArts,Shounen"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,6.03,5918,3130,14460,"Comedy,School"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6,92,10351,323,"Magic,School,Shoujo"
Movie,Original,1,FinishedAiring,FALSE,G-AllAges,5.56,64,12271,134,"Music,Kids"
OVA,Visualnovel,2,FinishedAiring,FALSE,PG-Children,5.81,1221,6326,2569,"Adventure,Mecha"
TV,Other,26,FinishedAiring,FALSE,PG-Children,7.22,454,7079,1799,"Adventure,Comedy,Historical"
TV,Original,13,FinishedAiring,FALSE,PG-13-Teens13orolder,7.88,75431,468,171855,"Sci-Fi,Space,Comedy"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.3,121,9331,556,"Action,Mecha,SuperPower,Sci-Fi,Shounen"
