anime_id,title,type,source,status,rating,score,rank,popularity,genre
36160,Yaoguai Mingdan 2nd Season,ONA,Web manga,Finished Airing,R - 17+ (violence & profanity),8.06,482,6859,"Action, Comedy, Romance, Fantasy"
36161,"Annyeong, Jeonwoochi! Dosoolrobotdaegyeoljeon",Movie,Original,Finished Airing,PG - Children,4.67,9618,13926,"Sci-Fi, Kids, Martial Arts"
36162,"Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen",Special,Other,Finished Airing,G - All Ages,5.65,8110,7339,Slice of Life
36163,Aoi Triton,Special,Manga,Finished Airing,G - All Ages,6,9642,13718,"Fantasy, Shounen"
36166,Fireball Humorous,TV,Original,Finished Airing,G - All Ages,5.59,8212,6890,"Sci-Fi, Comedy"
36169,World&#039;s End Umbrella,Music,Music,Finished Airing,G - All Ages,6.16,6919,12356,Music
36170,Wonderland to Hitsuji no Uta,Music,Music,Finished Airing,G - All Ages,4.95,12677,13290,Music
36172,Sajou no Yumekui Shoujo,Music,Music,Finished Airing,G - All Ages,4.71,11933,13648,Music
36173,Suna no Wakusei feat. Hatsune Miku,Music,Original,Finished Airing,G - All Ages,6.81,4295,9887,Music
36175,Diary,Music,Original,Finished Airing,G - All Ages,5.77,9973,13322,Music
36180,Clock Lock Works,Music,Music,Finished Airing,G - All Ages,4.78,9901,13596,Music
36181,Christmas Morgue,Music,Music,Finished Airing,G - All Ages,5.31,8666,12864,Music
36182,Abstract feat. Alkama,Movie,Original,Finished Airing,G - All Ages,5.34,8619,10953,Dementia
36183,It Seems like a Frog,Music,Original,Finished Airing,G - All Ages,4.52,10600,13950,Music
36184,Feng Ling Yu Xiu,ONA,Original,Currently Airing,PG-13 - Teens 13 or older,7.25,10080,10343,"Adventure, Martial Arts"
36185,Lan Mo De Hua,ONA,Web manga,Finished Airing,PG-13 - Teens 13 or older,6.9,3920,8133,"Magic, Romance, School"
36186,The iDOLM@STER Prologue SideM: Episode of Jupiter,Special,Game,Finished Airing,PG-13 - Teens 13 or older,7.31,2406,5577,Music
36191,Boku wa Sonzai Shiteinakatta,Music,Music,Finished Airing,G - All Ages,5.8,7792,10222,Music
36194,Starship Troopers: Traitor of Mars,Movie,Original,Finished Airing,R - 17+ (violence & profanity),6.68,4860,9499,"Action, Military, Sci-Fi"
36196,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,TV,Original,Finished Airing,PG - Children,6.1,7084,6193,"Comedy, Fantasy, Parody"
36197,Infini-T Force Movie: Gatchaman - Saraba Tomo yo,Movie,Manga,Finished Airing,None,5.88,10575,8103,"Action, Sci-Fi, Seinen, Super Power"
36198,"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",TV,Digital manga,Finished Airing,R+ - Mild Nudity,5.57,8247,2088,"Romance, Ecchi, School"
36204,Tokimeki Restaurant☆☆☆  MIRACLE6 Movie,Movie,Visual novel,Finished Airing,None,5,12455,8054,"Music, Romance"
36214,Asagao to Kase-san.,OVA,Manga,Not yet aired,None,0,0,3955,"Romance, School, Shoujo Ai"
36215,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Special,Manga,Finished Airing,PG-13 - Teens 13 or older,8.05,494,4090,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,TV,Music,Finished Airing,PG-13 - Teens 13 or older,7.68,1152,1377,"Comedy, Drama, Romance, School"
36221,Plus Kouji,Special,Original,Currently Airing,G - All Ages,5.75,11782,13843,Slice of Life
36223,New My Tear CL Series,ONA,Other,Finished Airing,G - All Ages,5.35,8613,7461,Slice of Life
36225,Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,OVA,Visual novel,Currently Airing,Rx - Hentai,7.44,0,5229,Hentai
36226,Kai Feng Qitan: Zhege Baogong Bu Taixing,ONA,Manga,Finished Airing,PG-13 - Teens 13 or older,6,10694,14387,"Action, Comedy, Historical"
36228,Anisama,ONA,Other,Finished Airing,PG - Children,6.08,7130,7655,"Adventure, Comedy, Fantasy"
36229,Rainbow Signal: Hi-Fi Set,Music,Music,Finished Airing,G - All Ages,6.16,6908,12710,"Music, Romance, Fantasy"
36231,Hinomaru!,TV,Manga,Currently Airing,None,6.13,10469,11551,"Adventure, Comedy, Fantasy"
36232,Glory Days,Music,Other,Finished Airing,G - All Ages,6.87,4034,8216,"Action, Music, Mecha"
36233,Kuusou Suizokukan,ONA,Original,Finished Airing,G - All Ages,5.29,11027,14144,Kids
36234,"Panpaka Pants Matsuri Movie: Purin Ara, Domo",Movie,Original,Finished Airing,G - All Ages,4.86,11710,13970,"Comedy, Kids"
